Date,Harga_Aktual,Prediksi_Uji
2015-09-09,1175.29248046875,
2015-09-10,1142.7275390625,
2015-09-11,1136.8070068359375,
2015-09-14,1139.7672119140625,
2015-09-15,1139.7672119140625,
2015-09-16,1136.8070068359375,
2015-09-17,1187.1341552734375,
2015-09-18,1157.5299072265625,
2015-09-21,1127.925537109375,
2015-09-22,1107.2022705078125,
2015-09-23,1042.0728759765625,
2015-09-25,1012.4685668945312,
2015-09-28,982.8641357421876,
2015-09-29,988.7850952148438,
2015-09-30,1024.310302734375,
2015-10-01,1033.191650390625,
2015-10-02,1027.2708740234375,
2015-10-05,1080.558349609375,
2015-10-06,1119.044189453125,
2015-10-07,1166.4111328125,
2015-10-08,1181.213134765625,
2015-10-09,1249.3033447265625,
2015-10-12,1278.907470703125,
2015-10-13,1187.1341552734375,
